Term,Spotify_SFA,Spotify_Creator Promotion,Scribd,QDT,Zignal,WGU,Afterpay,Lumen,Kin + Carta,HashiCorp,Talentify,Trellance,Upgrade,Sprouts,Pngme,Posh,SigFig,GGWP,NExTNet,Dashworks,Alectio,TOTALS,Notes
4+ years DS,,,,,,,,,,,,,,,checked,,,,,,,1,
Apache,,,,,,,,,,,,,,,checked,,,,,,,1,
data: financial,,,,,,,,,,,,,,,checked,,,,,,,1,
people,,,,,,,,,,,,,,,checked,,,,,,,1,
discussion,,,,,,,,,,,,,,,checked,,,,,,,1,
product: culture,,,,,,,,,,,,,,,checked,,,,,,,1,
equal access,,,,,,,,,,,,,,,checked,,,,,,,1,
meetings,,,,,,,,,,,,,,,checked,,,,,,,1,
EMR,,,,,,,,,,,,,,,checked,,,,,,,1,
probability,,,,,,,,,,,,,,,checked,,,,,,,1,
DS: perspective,,,,,,,,,,,,,,,checked,,,,,,,1,
2+ years NLP,,,,,,,,,,,,,,,,checked,,,,,,1,
semi-supervised learning,,,,,,,,,,,,,,,,checked,,,,,,1,
creative writers,,,,,,,,,,,,,,,,checked,,,,,,1,
Arxiv,,,,,,,,,,,,,,,,checked,,,,,,1,
deliver,,,,,,,,,,,,,,,,checked,,,,,,1,
hobbies,,,,,,,,,,,,,,,,checked,,,,,,1,
Post-graduate,,,,,,,,,,,,,,,,checked,,,,,,1,
Software Development,,,,,,,,,,,,,,,,checked,,,,,,1,
philosophy,,,,,,,,,,,,,,,,checked,,,,,,1,
NLP: summarization,,,,,,,,,,,,,,,,checked,,,,,,1,
scientific process,,,,,,,,,,,,,,,,checked,,,,,,1,
data: intent recognition,,,,,,,,,,,,,,,,checked,,,,,,1,
end-user experience,,,,,,,,,,,,,,,,checked,,,,,,1,
NLP: classification,,,,,,,,,,,,,,,,checked,,,,,,1,
